0.9403 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.4911 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1440]. Using actual size
22.1308 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ffd46819d68>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7ffd5568ef60>, multiSample=False, name='window1', numSamples=2, pos=[640.0, 360.0], screen=0, size=array([5120, 2880]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.1311 	EXP 	window1: mouseVisible = True
22.1311 	EXP 	window1: recordFrameIntervals = False
22.2966 	EXP 	window1: recordFrameIntervals = True
22.4802 	EXP 	window1: recordFrameIntervals = False
22.9972 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
23.0042 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
23.0477 	EXP 	unnamed TextStim: text = 'Zwanzig'
23.0478 	EXP 	window1: recordFrameIntervals = False
23.1970 	EXP 	window1: recordFrameIntervals = True
23.3808 	EXP 	window1: recordFrameIntervals = False
24.8066 	DATA 	Keypress: space
24.8167 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
24.8185 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
24.8355 	EXP 	unnamed TextStim: text = 'Jahre'
24.8356 	EXP 	window1: recordFrameIntervals = False
24.9975 	EXP 	window1: recordFrameIntervals = True
25.1982 	EXP 	window1: recordFrameIntervals = False
26.8517 	DATA 	Keypress: space
26.8648 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
26.8664 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
26.8852 	EXP 	unnamed TextStim: text = 'verbrachte'
26.8853 	EXP 	window1: recordFrameIntervals = False
27.0482 	EXP 	window1: recordFrameIntervals = True
27.2317 	EXP 	window1: recordFrameIntervals = False
28.9165 	DATA 	Keypress: space
28.9319 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
28.9336 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
28.9512 	EXP 	unnamed TextStim: text = 'Ernest'
28.9513 	EXP 	window1: recordFrameIntervals = False
29.1156 	EXP 	window1: recordFrameIntervals = True
29.2332 	DATA 	Keypress: space
29.2987 	EXP 	window1: recordFrameIntervals = False
29.3322 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
29.3337 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
29.3526 	EXP 	unnamed TextStim: text = 'Hemingway'
29.3527 	EXP 	window1: recordFrameIntervals = False
29.5154 	EXP 	window1: recordFrameIntervals = True
29.6670 	DATA 	Keypress: space
29.6987 	EXP 	window1: recordFrameIntervals = False
29.7322 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
29.7339 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
29.7498 	EXP 	unnamed TextStim: text = 'auf'
29.7499 	EXP 	window1: recordFrameIntervals = False
29.9157 	EXP 	window1: recordFrameIntervals = True
30.0843 	DATA 	Keypress: space
30.1997 	EXP 	window1: recordFrameIntervals = False
30.2327 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
30.2344 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
30.2504 	EXP 	unnamed TextStim: text = 'Kuba.'
30.2505 	EXP 	window1: recordFrameIntervals = False
30.4164 	EXP 	window1: recordFrameIntervals = True
30.5996 	EXP 	window1: recordFrameIntervals = False
31.0674 	DATA 	Keypress: space
31.0831 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
31.0847 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
31.0997 	EXP 	unnamed TextStim: text = 'Die'
31.0998 	EXP 	window1: recordFrameIntervals = False
31.2663 	EXP 	window1: recordFrameIntervals = True
31.4499 	EXP 	window1: recordFrameIntervals = False
31.9510 	DATA 	Keypress: space
31.9664 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
31.9680 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
31.9831 	EXP 	unnamed TextStim: text = 'meiste'
31.9832 	EXP 	window1: recordFrameIntervals = False
32.1496 	EXP 	window1: recordFrameIntervals = True
32.3335 	EXP 	window1: recordFrameIntervals = False
33.0675 	DATA 	Keypress: space
33.0831 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
33.0847 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
33.0995 	EXP 	unnamed TextStim: text = 'Zeit'
33.0996 	EXP 	window1: recordFrameIntervals = False
33.2663 	EXP 	window1: recordFrameIntervals = True
33.4502 	EXP 	window1: recordFrameIntervals = False
33.9345 	DATA 	Keypress: space
33.9504 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
33.9519 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
33.9694 	EXP 	unnamed TextStim: text = 'davon'
33.9694 	EXP 	window1: recordFrameIntervals = False
34.1334 	EXP 	window1: recordFrameIntervals = True
34.3171 	EXP 	window1: recordFrameIntervals = False
34.7347 	DATA 	Keypress: space
34.7501 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
34.7517 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
34.7667 	EXP 	unnamed TextStim: text = 'lebte'
34.7668 	EXP 	window1: recordFrameIntervals = False
34.9335 	EXP 	window1: recordFrameIntervals = True
35.2015 	EXP 	window1: recordFrameIntervals = False
36.0193 	DATA 	Keypress: escape
36.5517 	EXP 	window1: mouseVisible = True
