DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	testing_mode	date	expName	psychopyVersion	expStart	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test3_21.png	21	0	2	2	2					193.93771290779114																						193.88816595077515	197.5790708065033	21																																						OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test4_78.png	78	0	3	3	3					198.63148880004883																						198.58234882354736	202.63892197608948	78																																						OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test6_15.png	15	0	4	4	5					203.691339969635																						203.6422028541565	206.79691982269287	15																																						OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test1_70.png	70	0	5	5	0					207.84814381599426																						207.79855585098267	212.69359588623047	70																																						OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0	213.72652196884155																									213.71043992042542	213.7266149520874	213.72662591934204	#D292F3	None	None	None	1500	reading_bl_training_text	1	0	Reading_Baseline_training_click	None	Auf																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#D292F3	None	None	None	1500	reading_bl_training_text	2	0	Reading_Baseline_training_click	None	dem																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	1500	reading_bl_training_text	3	0	Reading_Baseline_training_click	None	großen																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#F989A2	None	None	None	1500	reading_bl_training_text	4	0	Reading_Baseline_training_click	None	"Passagierdampfer,"																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#88BA3F	None	None	None	1500	reading_bl_training_text	5	0	Reading_Baseline_training_click	None	der																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#D292F3	None	None	None	1500	reading_bl_training_text	6	0	Reading_Baseline_training_click	None	um																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
