DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	testing_mode	date	expName	psychopyVersion	expStart	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test5_23.png	23	0	2	2	4					418.01285004615784																						417.96369910240173	420.01638889312744	23																																						YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test4_78.png	78	0	3	3	3					421.06879591941833																						421.0196409225464	423.27447605133057	78																																						YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test3_21.png	21	0	4	4	2					424.325138092041																						424.2759530544281	426.44559812545776	21																																						YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test6_15.png	15	0	5	5	5					427.4981961250305																						427.4483211040497	429.6518130302429	15																																						YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0	430.67097902297974																									430.6549530029297	430.6710669994354	430.67107701301575	#F989A2	None	None	None	682.2359561920166	reading_bl_training_text	1	0	Reading_Baseline_training_click	None	Auf																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#88BA3F	None	None	None	433.0899715423584	reading_bl_training_text	2	0	Reading_Baseline_training_click	None	dem																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#D292F3	None	None	None	397.37987518310547	reading_bl_training_text	3	0	Reading_Baseline_training_click	None	großen																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#F989A2	None	None	None	1331.0389518737793	reading_bl_training_text	4	0	Reading_Baseline_training_click	None	"Passagierdampfer,"																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	515.3789520263672	reading_bl_training_text	5	0	Reading_Baseline_training_click	None	der																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#F989A2	None	None	None	433.6581230163574	reading_bl_training_text	6	0	Reading_Baseline_training_click	None	um																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#88BA3F	None	None	None	531.257152557373	reading_bl_training_text	7	0	Reading_Baseline_training_click	None	Mitternacht																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	466.4590358734131	reading_bl_training_text	8	0	Reading_Baseline_training_click	None	von																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#D292F3	None	None	None	429.9499988555908	reading_bl_training_text	9	0	Reading_Baseline_training_click	None	New																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#88BA3F	None	None	None	414.79015350341797	reading_bl_training_text	10	0	Reading_Baseline_training_click	None	York																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#D292F3	None	None	None	415.29107093811035	reading_bl_training_text	11	0	Reading_Baseline_training_click	None	nach																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#D292F3	None	None	None	381.0701370239258	reading_bl_training_text	12	0	Reading_Baseline_training_click	None	Buenos																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#88BA3F	None	None	None	530.432939529419	reading_bl_training_text	13	0	Reading_Baseline_training_click	None	Aires																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
