shuffle_blocks.thisRepN,shuffle_blocks.thisTrialN,shuffle_blocks.thisN,shuffle_blocks.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,loop_words.thisRepN,loop_words.thisTrialN,loop_words.thisN,loop_words.thisIndex,resp_1_1.keys,resp_1_1.rt,instr_1_1.started,instr_1_1.stopped,instr_1_2.started,instr_1_2.stopped,resp_1.keys,resp_1.rt,resp_1.started,resp_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,80.25068990200089,,,,,,,,,,001,2023_Jan_19_1614,selfpaced_reading_nback,2021.2.3,120.06444771425805,
,,,,,,,,,,,,,,88.07744289400216,None,90.07848541099884,None,space,182.23238562400002,90.07848541099884,None,,,,,,,
