blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,empty_placeholder.started,word,colour,target,nback_response,nback_RT,block_kind,duration,text_nr,block_nr,trial_nr,question,chosen_ans,ans_correct,participant,age,handedness,gender,testing_mode,date,expName,psychopyVersion,frameRate,
0,0,0,0,18.795761523011606,Auf,#88BA3F,None,None,None,None,0.4105793760099914,reading_bl_training_text,Reading_Baseline_training,1,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
0,0,0,0,,dem,#F989A2,None,None,None,None,0.20066694798879325,reading_bl_training_text,Reading_Baseline_training,2,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
0,0,0,0,,großen,#2AB7EF,None,None,None,None,0.15714761799608823,reading_bl_training_text,Reading_Baseline_training,3,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
0,0,0,0,,"Passagierdampfer,",#D292F3,None,None,None,None,0.14919312800338957,reading_bl_training_text,Reading_Baseline_training,4,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
0,0,0,0,,,,,,,None,,reading_bl_training_text,Reading_Baseline_training,,Q1,a,True,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
0,0,0,0,,,,,,,None,,reading_bl_training_text,Reading_Baseline_training,,Q2,None,False,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
0,0,0,0,,,,,,,None,,reading_bl_training_text,Reading_Baseline_training,,Q3,None,False,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
0,0,0,0,,,,,,,,,,,,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
1,0,1,0,,Jerry,#2AB7EF,None,None,None,None,0.305260991997784,text_04,Reading_Baseline_main,1,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
1,0,1,0,,Robinson,#F989A2,None,None,None,None,0.17387899599270895,text_04,Reading_Baseline_main,2,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
1,0,1,0,,war,#F989A2,None,None,None,None,0.17500720400130376,text_04,Reading_Baseline_main,3,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
1,0,1,0,,erst,#2AB7EF,None,None,None,None,0.14884938999603037,text_04,Reading_Baseline_main,4,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
1,0,1,0,,,,,,,None,,text_04,Reading_Baseline_main,,Q1,a,False,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
1,0,1,0,,,,,,,None,,text_04,Reading_Baseline_main,,Q2,None,False,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
1,0,1,0,,,,,,,None,,text_04,Reading_Baseline_main,,Q3,None,False,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
1,0,1,0,,,,,,,,,,,,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
2,0,2,0,,,#2AB7EF,None,None,None,None,1.1385930539981928,,click_training,1,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
2,0,2,0,,,#2AB7EF,None,None,None,None,0.23837309799273498,,click_training,2,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
2,0,2,0,,,#2AB7EF,None,None,None,None,0.43685753099271096,,click_training,3,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
2,0,2,0,,,#2AB7EF,None,None,None,None,0.4353826320002554,,click_training,4,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
2,0,2,0,,,#2AB7EF,None,None,None,None,0.3352372690133052,,2back_single_training1,1,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
2,0,2,0,,,#2AB7EF,None,None,None,None,0.7804227890010225,,2back_single_training1,2,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
2,0,2,0,,,#2AB7EF,None,None,None,None,0.6573382439964917,,2back_single_training1,3,,,,,,r,w,yes,2023-03-24_10h39.03.607,EXNAT-2,2022.2.5,360.03657408462095,
