shuffle_blocks.thisRepN,shuffle_blocks.thisTrialN,shuffle_blocks.thisN,shuffle_blocks.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,loop_words.thisRepN,loop_words.thisTrialN,loop_words.thisN,loop_words.thisIndex,resp_1_1.keys,resp_1_1.rt,instr_1_1.started,instr_1_1.stopped,instr_1_2.started,instr_1_2.stopped,resp_1.keys,resp_1.rt,resp_1.started,resp_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,138.34701196399692,,,,,,,,,,001,2023_Jan_19_1620,selfpaced_reading_nback,2021.2.3,59.97730470833994,
,,,,,,,,,,,,,,146.82769517799898,None,148.79991200400036,None,space,0.40403835300094215,148.79991200400036,None,,,,,,,
