DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	self-paced_blocks	paced_blocks	testing_mode	date	expName	psychopyVersion	expStart	
												0.02881002426147461	0.02910304069519043																																																											OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
														0.029118061065673828	170.50784707069397	0.0	Willkommen zum Experiment!	heading	None	None																																																				OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																0.0	Bitte beantworten Sie zunächst die folgenden Fragen:	description	None	None																																																				OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																gender	Welches Geschlecht steht in Ihrem Ausweis?	radio	None	None	Weiblich	133.0221619606018																																																		OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																age	Wie alt sind Sie?	free text	None	None	75 Jahre	None																																																		OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																language	Ist Deutsch Ihre Muttersprache?	radio	None	None	Ja	143.66723895072937																																																		OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																dyslexia	Haben Sie eine Leseschwäche?	radio	None	None	Nein	154.42280101776123																																																		OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																vision_glasses	Tragen Sie eine Brille?	radio	None	None	Ja	20.00860905647278																																																		OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																vision_lenses	Tragen Sie Kontaktlinsen?	radio	None	None	Nein	16.635243892669678																																																		OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																handedness	Sind Sie rechtshändig?	radio	None	None	Ja	11.800262928009033																																																		OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																																																																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																							170.5080099105835	303.61708402633667	0.0	Bitte beantworten Sie die folgenden Fragen zu Ihrer Ausbildung:	description	None	None																																											OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																									education	Was ist Ihr höchster Bildungsabschluss?	radio	None	None	abgeschlossenes Studium	8.456552028656006																																									OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
