DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	self-paced_blocks	paced_blocks	testing_mode	date	expName	psychopyVersion	expStart	
																									edu_intro	Wie viele Jahre verbrachten Sie insgesamt mit:	description	None	None																																											OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																									edu_school_years	Schule	free text	None	None	10	None																																									OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																									edu_eveningschool_years	Abendschule	free text	None	None	o	None																																									OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																									edu_training_years	Ausbildung	free text	None	None	"Facharbeiter 2,5 Jahre"	None																																									OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																									edu_training_GDR_years	Fachschule	free text	None	None	5 JAHRE	None																																									OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																									edu_uni_years	Universität/Hochschule	free text	None	None	0	None																																									OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																									edu_other_years	Sonstiges	free text	None	None	0	None																																									OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																									edu_profession	Was ist Ihr derzeitiger/letzter Beruf?	free text	None	None	Referentin 	None																																									OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																																																																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
																																																																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test6_15.png	15	0	0	0	5					309.4942719936371																						309.43565607070923	314.286593914032	15																																						OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test1_70.png	70	0	1	1	0					315.3377070426941																						315.2881989479065	319.1127278804779	70																																						OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test3_21.png	21	0	2	2	2					320.1637489795685																						320.1142258644104	323.3208909034729	21																																						OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test5_23.png	23	0	3	3	4					324.3719789981842																						324.3224148750305	326.5437788963318	23																																						OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test2_17.png	17	0	4	4	1					327.59620094299316																						327.54653692245483	330.4013440608978	17																																						OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test4_78.png	78	0	5	5	3					331.45262694358826																						331.40288400650024	334.461030960083	78																																						OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0	335.4771840572357																									335.4614360332489	335.47731494903564	335.47732496261597	#D292F3	None	None	None	1500	reading_bl_training_text	1	0	Reading_Baseline_training_click	None	Auf																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#D292F3	None	None	None	1500	reading_bl_training_text	2	0	Reading_Baseline_training_click	None	dem																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#88BA3F	None	None	None	1500	reading_bl_training_text	3	0	Reading_Baseline_training_click	None	großen																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	1500	reading_bl_training_text	4	0	Reading_Baseline_training_click	None	"Passagierdampfer,"																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	1450.8259296417236	reading_bl_training_text	5	0	Reading_Baseline_training_click	None	der																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#F989A2	None	None	None	1500	reading_bl_training_text	6	0	Reading_Baseline_training_click	None	um																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	263.4010314941406	reading_bl_training_text	7	0	Reading_Baseline_training_click	None	Mitternacht																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#88BA3F	None	None	None	882.8680515289307	reading_bl_training_text	8	0	Reading_Baseline_training_click	None	von																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#F989A2	None	None	None	799.5078563690186	reading_bl_training_text	9	0	Reading_Baseline_training_click	None	New																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#F989A2	None	None	None	914.2248630523682	reading_bl_training_text	10	0	Reading_Baseline_training_click	None	York																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#D292F3	None	None	None	749.4449615478516	reading_bl_training_text	11	0	Reading_Baseline_training_click	None	nach																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#88BA3F	None	None	None	850.4679203033447	reading_bl_training_text	12	0	Reading_Baseline_training_click	None	Buenos																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#D292F3	None	None	None	832.305908203125	reading_bl_training_text	13	0	Reading_Baseline_training_click	None	Aires																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#88BA3F	None	None	None	1382.951021194458	reading_bl_training_text	14	0	Reading_Baseline_training_click	None	abgehen																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#F989A2	None	None	None	999.5129108428955	reading_bl_training_text	15	0	Reading_Baseline_training_click	None	"sollte,"																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#88BA3F	None	None	None	948.8530158996582	reading_bl_training_text	16	0	Reading_Baseline_training_click	None	herrschte																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#F989A2	None	None	None	715.1880264282227	reading_bl_training_text	17	0	Reading_Baseline_training_click	None	geschäftiges																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#88BA3F	None	None	None	698.3249187469482	reading_bl_training_text	18	0	Reading_Baseline_training_click	None	Treiben.																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#D292F3	None	None	None	715.6410217285156	reading_bl_training_text	19	0	Reading_Baseline_training_click	None	Einige																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	815.5200481414795	reading_bl_training_text	20	0	Reading_Baseline_training_click	None	Reporter																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#F989A2	None	None	None	848.9329814910889	reading_bl_training_text	21	0	Reading_Baseline_training_click	None	interviewten																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	1083.9359760284424	reading_bl_training_text	22	0	Reading_Baseline_training_click	None	den																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#D292F3	None	None	None	765.416145324707	reading_bl_training_text	23	0	Reading_Baseline_training_click	None	berühmten																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	1282.3469638824463	reading_bl_training_text	24	0	Reading_Baseline_training_click	None	Weltschachmeister																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	1217.1108722686768	reading_bl_training_text	25	0	Reading_Baseline_training_click	None	Mirko																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	1500	reading_bl_training_text	26	0	Reading_Baseline_training_click	None	"Czentovic,"																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#88BA3F	None	None	None	1551.00679397583	reading_bl_training_text	27	0	Reading_Baseline_training_click	None	der																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#D292F3	None	None	None	1133.5301399230957	reading_bl_training_text	28	0	Reading_Baseline_training_click	None	nach																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#F989A2	None	None	None	949.6059417724609	reading_bl_training_text	29	0	Reading_Baseline_training_click	None	Argentinien																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																													#88BA3F	None	None	None	1116.5149211883545	reading_bl_training_text	30	0	Reading_Baseline_training_click	None	reiste.																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			403.44598507881165	Q1	1	a	True	1	None																	OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			413.96514892578125	Q2	3	c	True	1	None																	OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			420.13959884643555	Q3	1	a	True	1	None																	OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						0	0	0	0																																															425.78926491737366	425.78928399086	425.828332901001	425.8283460140228	425.8382649421692	425.8382740020752	425.8554148674011										OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0	425.87157702445984																									425.855731010437	425.8716208934784	425.87162804603577	#88BA3F	None	None	None	849.7591018676758	text_01	1	1	Reading_Baseline_main_click	None	Ältere																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	546.0450649261475	text_01	2	1	Reading_Baseline_main_click	None	Leitkühe																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	631.8390369415283	text_01	3	1	Reading_Baseline_main_click	None	treffen																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	581.8119049072266	text_01	4	1	Reading_Baseline_main_click	None	bessere																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#D292F3	None	None	None	682.844877243042	text_01	5	1	Reading_Baseline_main_click	None	Entscheidungen																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	615.8969402313232	text_01	6	1	Reading_Baseline_main_click	None	für																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#D292F3	None	None	None	582.4289321899414	text_01	7	1	Reading_Baseline_main_click	None	ihre																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	564.0599727630615	text_01	8	1	Reading_Baseline_main_click	None	"Herde,"																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	548.1131076812744	text_01	9	1	Reading_Baseline_main_click	None	als																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	548.0589866638184	text_01	10	1	Reading_Baseline_main_click	None	junge.																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	515.5940055847168	text_01	11	1	Reading_Baseline_main_click	None	Die																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	531.1188697814941	text_01	12	1	Reading_Baseline_main_click	None	Chefin																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	532.8609943389893	text_01	13	1	Reading_Baseline_main_click	None	der																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#D292F3	None	None	None	498.2719421386719	text_01	14	1	Reading_Baseline_main_click	None	Elefanten																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	498.5988140106201	text_01	15	1	Reading_Baseline_main_click	None	muss																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	531.836986541748	text_01	16	1	Reading_Baseline_main_click	None	wichtige																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	749.3410110473633	text_01	17	1	Reading_Baseline_main_click	None	Entscheidungen																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	515.153169631958	text_01	18	1	Reading_Baseline_main_click	None	für																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	482.27596282958984	text_01	19	1	Reading_Baseline_main_click	None	die																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	681.7030906677246	text_01	20	1	Reading_Baseline_main_click	None	Gemeinschaft																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	499.27210807800293	text_01	21	1	Reading_Baseline_main_click	None	"treffen,"																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#D292F3	None	None	None	665.067195892334	text_01	22	1	Reading_Baseline_main_click	None	beispielsweise																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	481.5819263458252	text_01	23	1	Reading_Baseline_main_click	None	wohin																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	548.2668876647949	text_01	24	1	Reading_Baseline_main_click	None	die																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	448.7571716308594	text_01	25	1	Reading_Baseline_main_click	None	Herde																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#D292F3	None	None	None	482.24902153015137	text_01	26	1	Reading_Baseline_main_click	None	geht																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#D292F3	None	None	None	566.0719871520996	text_01	27	1	Reading_Baseline_main_click	None	oder																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	432.2080612182617	text_01	28	1	Reading_Baseline_main_click	None	wie																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#D292F3	None	None	None	432.24096298217773	text_01	29	1	Reading_Baseline_main_click	None	man																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	481.78791999816895	text_01	30	1	Reading_Baseline_main_click	None	sich																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	448.8050937652588	text_01	31	1	Reading_Baseline_main_click	None	gegen																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	465.40188789367676	text_01	32	1	Reading_Baseline_main_click	None	Löwen																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	464.493989944458	text_01	33	1	Reading_Baseline_main_click	None	verteidigt.																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	748.5518455505371	text_01	34	1	Reading_Baseline_main_click	None	Biologen																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	565.3669834136963	text_01	35	1	Reading_Baseline_main_click	None	konnten																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	481.7969799041748	text_01	36	1	Reading_Baseline_main_click	None	in																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#88BA3F	None	None	None	430.4180145263672	text_01	37	1	Reading_Baseline_main_click	None	Kenia																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#F989A2	None	None	None	364.70603942871094	text_01	38	1	Reading_Baseline_main_click	None	"zeigen,"																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	465.5778408050537	text_01	39	1	Reading_Baseline_main_click	None	dass																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
						1	0	1	0																													#D292F3	None	None	None	598.8850593566895	text_01	40	1	Reading_Baseline_main_click	None	die																								OA05	yes	yes	no	2024-08-28_10h12.02.490	EXNAT_3_training	2024.1.0	2024-08-28 11h07.26.326570 +0200	
