DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	self-paced_blocks	paced_blocks	testing_mode	date	expName	psychopyVersion	expStart	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test2_17.png	17	0	1	1	1					150.191388130188																						150.1418240070343	154.8512830734253	17																																						OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test3_21.png	21	0	2	2	2					155.9037730693817																						155.8541431427002	159.39342308044434	21																																						OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test1_70.png	70	0	3	3	0					160.44596099853516																						160.39680004119873	165.37177801132202	70																																						OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test6_15.png	15	0	4	4	5					166.42295622825623																						166.37336421012878	170.2144751548767	15																																						OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test4_78.png	78	0	5	5	3					171.26571607589722																						171.21613907814026	174.45605206489563	78																																						OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0	175.4741551876068																									175.45806002616882	175.47423100471497	175.47424221038818	#2AB7EF	None	None	None	1500	reading_bl_training_text	1	0	Reading_Baseline_training_click	None	Auf																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	563.6370182037354	reading_bl_training_text	2	0	Reading_Baseline_training_click	None	dem																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#D292F3	None	None	None	1015.5849456787109	reading_bl_training_text	3	0	Reading_Baseline_training_click	None	großen																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#88BA3F	None	None	None	712.7149105072021	reading_bl_training_text	4	0	Reading_Baseline_training_click	None	"Passagierdampfer,"																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#F989A2	None	None	None	682.729959487915	reading_bl_training_text	5	0	Reading_Baseline_training_click	None	der																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#88BA3F	None	None	None	716.0179615020752	reading_bl_training_text	6	0	Reading_Baseline_training_click	None	um																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	699.429988861084	reading_bl_training_text	7	0	Reading_Baseline_training_click	None	Mitternacht																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#F989A2	None	None	None	732.0120334625244	reading_bl_training_text	8	0	Reading_Baseline_training_click	None	von																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#D292F3	None	None	None	801.098108291626	reading_bl_training_text	9	0	Reading_Baseline_training_click	None	New																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#D292F3	None	None	None	815.63401222229	reading_bl_training_text	10	0	Reading_Baseline_training_click	None	York																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#F989A2	None	None	None	747.3428249359131	reading_bl_training_text	11	0	Reading_Baseline_training_click	None	nach																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
